group	file	keywords
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	\ГПН КИП
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	\
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	\Илья\
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Январь
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Февраль
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Март
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Апрель
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Май
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Июнь
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Июль
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Август
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Сентябрь
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Октябрь
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Ноябрь
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Декабрь
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование работ
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	план
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование и марка
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование должност
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование субподрядн
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование должност
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование субподрядн
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	наименование и марка
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Примечание
Томский интегрированный проект	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\Томский интегрированный проект\New parser V3_2017_12.py	Примечание
