,Unnamed: 0,group,file,guid_count,body
5820,666,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМР УДС ОБП ВЖК 31 10 2018.xlsb,1,['идентификатор guid ']
5821,667,СМГ Мессояха,"СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМР_энергетика_Евракор_ПС9, ВЛ35_31.10.2018..xlsb",1,['идентификатор guid ']
5822,668,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка_СМГ_ обустройство АРГОС 31.10.2018 (проект 1376).xlsb,1,['идентификатор guid ']
5823,669,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка_СМГ_ обустройство АРГОС 31.10.2018 (проект 29-16).xlsb,1,['идентификатор guid ']
5824,670,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка_СМГ_ обустройство АРГОС 31.10.2018 (проект 853).xlsb,1,['id']
5825,671,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка_СМГ_ обустройство АРГОС 31.10.2018 (проект 866).xlsb,1,['идентификатор guid ']
5826,672,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка_СМГ_ обустройство АРГОС 31.10.2018 (фаза-2 К301).xlsb,1,['идентификатор guid ']
5827,674,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Евракор_30.11.2018 (проект 108.17).xlsb,1,['идентификатор guid ']
5828,675,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Евракор_30.11.2018 (проект 1376)..xlsb,1,['идентификатор guid ']
5829,676,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Евракор_30.11.2018 (проект 2916).xlsb,1,['идентификатор guid ']
5830,677,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Евракор_30.11.2018 (проект 853).xlsb,1,['идентификатор guid ']
5831,678,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Евракор_30.11.2018 (проект 866)..xlsb,1,['идентификатор guid ']
5832,679,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Премьерстрой_30.11.2018 (Проект 1376).xlsb,1,['идентификатор guid ']
5833,680,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Премьерстрой_30.11.2018 (проект 2916).xlsb,1,['идентификатор guid ']
